site,dataset,start_year,end_year,latitude,longitude
AR-SLu,Berkeley,2009,2011,-33.4648,-66.4598
AR-Vir,Berkeley,2009,2012,-28.2395,-56.1886
AT-Neu,Berkeley,2002,2012,47.1167,11.3175
AT-Neu,LaThuile,2002,2006,47.1166687,11.31750011
AU-ASM,Berkeley,2010,2014,-22.283,133.249
AU-Ade,Berkeley,2007,2009,-13.0769,131.1178
AU-Cpr,Berkeley,2010,2014,-34.0021,140.5891
AU-Cum,Berkeley,2012,2014,-33.6133,150.7225
AU-DaP,Berkeley,2007,2013,-14.0633,131.3181
AU-DaS,Berkeley,2008,2014,-14.1593,131.3881
AU-Dry,Berkeley,2008,2014,-15.2588,132.3706
AU-Emr,Berkeley,2011,2013,-23.8587,148.4746
AU-Fog,LaThuile,2006,2007,-12.54249954,131.3070068
AU-Fog,Berkeley,2006,2008,-12.5452,131.3072
AU-GWW,Berkeley,2013,2014,-30.1913,120.6541
AU-Gin,Berkeley,2011,2014,-31.3764,115.7138
AU-How,Berkeley,2001,2014,-12.4943,131.1523
AU-How,LaThuile,2001,2006,-12.49429989,131.1519928
AU-Lox,Berkeley,2008,2009,-34.4704,140.6551
AU-RDF,Berkeley,2011,2013,-14.5636,132.4776
AU-Rig,Berkeley,2011,2014,-36.6499,145.5759
AU-Rob,Berkeley,2014,2014,-17.1175,145.6301
AU-Stp,Berkeley,2008,2014,-17.1507,133.3502
AU-TTE,Berkeley,2012,2014,-22.287,133.64
AU-Tum,LaThuile,2001,2006,-35.65570068,148.1519928
AU-Tum,Berkeley,2001,2014,-35.6566,148.1517
AU-Wac,Berkeley,2005,2008,-37.4259,145.1878
AU-Wac,LaThuile,2005,2007,-37.42900085,145.1869965
AU-Whr,Berkeley,2011,2014,-36.6732,145.0294
AU-Wom,Berkeley,2010,2014,-37.4222,144.0944
AU-Ync,Berkeley,2012,2014,-34.9893,146.2907
BE-Bra,LaThuile,1997,2006,51.30920029,4.520559788
BE-Bra,Berkeley,1996,2014,51.3092,4.5206
BE-Jal,LaThuile,2006,2006,50.56389999,6.073329926
BE-Lon,Berkeley,2004,2014,50.5516,4.7461
BE-Lon,LaThuile,2004,2006,50.55220032,4.744939804
BE-Vie,Berkeley,1996,2014,50.3051,5.9981
BE-Vie,LaThuile,1996,2006,50.30550003,5.996829987
BR-Ban,LaThuile,2003,2006,-9.824419975,-50.15909958
BR-Cax,LaThuile,1999,2003,-1.719720006,-51.45899963
BR-Ji1,LaThuile,1999,1999,-10.76179981,-62.35720062
BR-Ji2,LaThuile,2000,2002,-10.08320045,-61.93090057
BR-Ma2,LaThuile,1999,2006,-2.609100103,-60.20930099
BR-Sa1,Berkeley,2002,2011,-2.8567,-54.9589
BR-Sa1,LaThuile,2002,2004,-2.856669903,-54.95890045
BR-Sa2,LaThuile,2001,2002,-3.011899948,-54.53649902
BR-Sa3,Berkeley,2000,2004,-3.018,-54.9714
BR-Sa3,LaThuile,2000,2003,-3.018029928,-54.97140121
BR-Sp1,LaThuile,2001,2002,-21.61949921,-47.64989853
BW-Ghg,LaThuile,2003,2003,-21.51000023,21.73999977
BW-Ghm,LaThuile,2003,2003,-21.20000076,21.75
BW-Ma1,LaThuile,1999,2001,-19.91550064,23.56049919
CA-Ca1,LaThuile,1997,2005,49.86719894,-125.3339996
CA-Ca2,LaThuile,2000,2005,49.87049866,-125.2910004
CA-Ca3,LaThuile,2001,2005,49.5345993,-124.9000015
CA-Gro,Berkeley,2003,2014,48.2167,-82.1556
CA-Gro,LaThuile,2003,2005,48.21670151,-82.1556015
CA-Let,LaThuile,1998,2005,49.70930099,-112.9400024
CA-Man,LaThuile,1994,2003,55.87960052,-98.48079681
CA-Man,Berkeley,1994,2008,55.8796,-98.4808
CA-Mer,LaThuile,1998,2005,45.40940094,-75.51860046
CA-NS1,Berkeley,2001,2005,55.8792,-98.4839
CA-NS1,LaThuile,2002,2005,55.87919998,-98.48390198
CA-NS2,LaThuile,2001,2005,55.90579987,-98.52469635
CA-NS2,Berkeley,2001,2005,55.9058,-98.5247
CA-NS3,LaThuile,2001,2005,55.9117012,-98.38220215
CA-NS3,Berkeley,2001,2005,55.9117,-98.3822
CA-NS4,LaThuile,2002,2004,55.9117012,-98.38220215
CA-NS4,Berkeley,2002,2005,55.9117,-98.3822
CA-NS5,LaThuile,2001,2005,55.86309814,-98.48500061
CA-NS5,Berkeley,2001,2005,55.8631,-98.485
CA-NS6,LaThuile,2001,2005,55.91669846,-98.96440125
CA-NS6,Berkeley,2001,2005,55.9167,-98.9644
CA-NS7,LaThuile,2002,2005,56.63579941,-99.94830322
CA-NS7,Berkeley,2002,2005,56.6358,-99.9483
CA-Oas,Berkeley,1996,2010,53.6289,-106.1978
CA-Oas,LaThuile,1997,2005,53.62889862,-106.197998
CA-Obs,LaThuile,1999,2005,53.98720169,-105.1179962
CA-Obs,Berkeley,1997,2010,53.9872,-105.1178
CA-Ojp,LaThuile,1999,2005,53.91630173,-104.6920013
CA-Qcu,LaThuile,2001,2006,49.26710129,-74.03649902
CA-Qfo,LaThuile,2003,2006,49.69250107,-74.34210205
CA-Qfo,Berkeley,2003,2010,49.6925,-74.3421
CA-SF1,LaThuile,2003,2005,54.48500061,-105.8180008
CA-SF1,Berkeley,2003,2006,54.485,-105.8176
CA-SF2,Berkeley,2001,2005,54.2539,-105.8775
CA-SF2,LaThuile,2003,2005,54.25389862,-105.8779984
CA-SF3,LaThuile,2003,2005,54.09159851,-106.0049973
CA-SF3,Berkeley,2001,2006,54.0916,-106.0053
CA-SJ1,LaThuile,2001,2005,53.90800095,-104.6559982
